,Name,class
0,A Ashish Reddy,0
1,AF Milne,0
2,Ankit Sharma,0
3,Anureet Singh,0
4,BCJ Cutting,0
5,C Munro,0
6,CH Gayle,0
7,D Wiese,0
8,DL Chahar,0
9,DW Steyn,0
10,GJ Maxwell,0
11,Gurkeerat Singh,0
12,IK Pathan,0
13,J Suchith,0
14,JA Morkel,0
15,JD Unadkat,0
16,JP Duminy,0
17,JW Hastings,0
18,KA Pollard,0
19,KS Williamson,0
20,M Vijay,0
21,MR Marsh,0
22,N Rana,0
23,P Negi,0
24,PJ Sangwan,0
25,R Dhawan,0
26,R Sathish,0
27,R Vinay Kumar,0
28,S Gopal,0
29,S Ladda,0
30,SK Raina,0
31,SM Boland,0
32,Sachin Baby,0
33,Swapnil Singh,0
34,TA Boult,0
35,V Kohli,0
36,YK Pathan,0
37,Yuvraj Singh,0
38,AR Patel,1
39,B Kumar,1
40,BB Sran,1
41,DJ Bravo,1
42,DS Kulkarni,1
43,Harbhajan Singh,1
44,JJ Bumrah,1
45,MC Henriques,1
46,MJ McClenaghan,1
47,MM Sharma,1
48,Mustafizur Rahman,1
49,P Kumar,1
50,SR Watson,1
51,Sandeep Sharma,1
52,YS Chahal,1
53,A Zampa,2
54,AS Rajpoot,2
55,Bipul Sharma,2
56,DJ Hooda,2
57,DR Smith,2
58,GB Hogg,2
59,HH Pandya,2
60,HV Patel,2
61,I Sharma,2
62,Imran Tahir,2
63,J Yadav,2
64,JO Holder,2
65,JP Faulkner,2
66,KC Cariappa,2
67,KJ Abbott,2
68,KV Sharma,2
69,KW Richardson,2
70,Kuldeep Yadav,2
71,MG Johnson,2
72,NM Coulter-Nile,2
73,P Sahu,2
74,PV Tambe,2
75,Parvez Rasool,2
76,RP Singh,2
77,S Nadeem,2
78,SB Jakati,2
79,STR Binny,2
80,T Shamsi,2
81,A Nehra,3
82,AB Dinda,3
83,CJ Jordan,3
84,CR Brathwaite,3
85,Iqbal Abdulla,3
86,KH Pandya,3
87,M Ashwin,3
88,MP Stoinis,3
89,Mohammed Shami,3
90,R Bhatia,3
91,S Aravind,3
92,S Kaushik,3
93,Shakib Al Hasan,3
94,UT Yadav,3
95,VR Aaron,3
96,A Mishra,4
97,AD Russell,4
98,CH Morris,4
99,M Morkel,4
100,NLTC Perera,4
101,PP Chawla,4
102,R Ashwin,4
103,RA Jadeja,4
104,SP Narine,4
105,TG Southee,4
106,Z Khan,4
